id,name,price,unit,stock,low_stock,hidden,category,note
caterpillar,Yummy Gummy - Caterpillar,360,2.5kg pack (x6/case),,,FALSE,,
banana,Yummy Gummy - Banana,360,2.5kg pack (x6/case),,,FALSE,,
mango,Yummy Gummy - Mango,360,2.5kg pack (x6/case),,,FALSE,,
heart,Yummy Gummy - Heart,360,2.5kg pack (x6/case),,,FALSE,,
orange,Yummy Gummy - Orange,360,2.5kg pack (x6/case),,,FALSE,,
sugarbear,Yummy Gummy - Sugar Bear,360,2.5kg pack (x6/case),,,FALSE,,
flower,Yummy Gummy - Flower,360,2.5kg pack (x6/case),,,FALSE,,
dolphin,Yummy Gummy - Dolphin,360,2.5kg pack (x6/case),,,FALSE,,
teeth,Yummy Gummy - Teeth,360,2.5kg pack (x6/case),,,FALSE,,
cola,Yummy Gummy - Cola,360,2.5kg pack (x6/case),,,FALSE,,
ring,Yummy Gummy - Ring,360,2.5kg pack (x6/case),,,FALSE,,
lollipop,Love Lollipop (30pcs),122,jar,,,FALSE,,
tarocube,Milk Choco Taro Cube,122,jar,,,FALSE,,
mickeylollipop,Mickey Lollipop,122,jar (1x30),,,FALSE,,
orangeslice,Orange Slice (30pcs),122,jar (1x30),,,FALSE,,
milkcube,Milk Cube,122,jar,,,FALSE,,
chococube,Choco Cube,122,jar,,,FALSE,,
bigtattoo-jar,Big Tattoo Bubble Gum (100pcs),110,jar,,,FALSE,,
bigtattoo-pack,Big Tattoo Bubble Gum (pouch),28,pouch,,,FALSE,,
holecandy,Hole Candy (fruit flavor),27.5,pack,,,FALSE,,
whiso,Whis O Ring,27.5,pack,,,FALSE,,
bunny,Bunny Fruit Flavor Candy,27.5,pack,,,FALSE,,
chocosnips,Choco Snips,27.5,pack,,,FALSE,,
minichocosnips,Mini Choco Snips,27.5,pack,,,FALSE,,
minions,Minions Bubble Gum,40,pack,,,FALSE,,
chocostone,Choco Stone,24,pack,,,FALSE,,
butiki,Butiki Coated Candy,24,pack,,,FALSE,,
rainbowmix,Rainbow Mix,24,pack,,,FALSE,,
rainbowsnips,Rainbow Snips,24,pack,,,FALSE,,
rainbowdew,Rainbow Dew,24,pack,,,FALSE,,
rockyroll,Rocky Roll,24,pack,,,FALSE,,
popopbomb,Popop Bomb,24,pack,,,FALSE,,
cowhead-choco,Cowhead Chocolate Tablet,24,pack,,,FALSE,,
cowhead-milk,Cowhead Milk Tablet,24,pack,,,FALSE,,
cool-mango,Cool & Cool Mango,24,pack,,,FALSE,,
cool-orange,Cool & Cool Orange,24,pack,,,FALSE,,
cool-strawberry,Cool & Cool Strawberry,24,pack,,,FALSE,,
cool-apple,Cool & Cool Apple,24,pack,,,FALSE,,
cool-grape,Cool & Cool Grape,24,pack,,,FALSE,,
stick-strawberry,Strawberry Fruity Stick (50pcs),44.5,pack,,,FALSE,,
stick-orange,Orange Fruity Stick (50pcs),44.5,pack,,,FALSE,,
combifruitti,Combi Fruitti Stick (50pcs),44.5,pack,,,FALSE,,
twinfun,Twin Fun Stick (50pcs),44.5,pack,,,FALSE,,
yogurtstick,Yogurt Fruity Stick (extra long),46,pack,,,FALSE,,
milkstick,Milk Stick (50pcs),44.5,pack,,,FALSE,,
milkchocostick,Milk Choco Stick (50pcs),44.5,pack,,,FALSE,,
jelly-mango,Jellylite Mango,67,box,,,FALSE,,
jelly-orange,Jellylite Orange,67,box,,,FALSE,,
jelly-strawberry,Jellylite Strawberry,67,box,,,FALSE,,
jelly-kiwi,Jellylite Kiwi,67,box,,,FALSE,,
jelly-blueberry,Jellylite Blueberry,67,box,,,FALSE,,
goldcoin,Goldcoin Chocolate Egg (120pcs),148.5,box,,,FALSE,,
mayo-tub,Season's Mayo Dressing (3.5),195,tub,,,FALSE,,
mayo-1l,Season's Mayo Dressing (1L),73.5,tub,,,FALSE,,
mayo-pouch,Season's Mayo Dressing (200ml),16,pouch,,,FALSE,,
burger-tub,Season's Burger Dressing (3.5),200,tub,,,FALSE,,
burger-1l,Season's Burger Dressing (1L),73.5,tub,,,FALSE,,
burger-pouch,Season's Burger Dressing (200ml),16,pouch,,,FALSE,,
dressing-tub,Season's All Purpose Dressing (tub),0,tub,,,FALSE,,
hotsauce-1l,Season's Hot Sauce (1L),44,bottle,,,FALSE,,
hotsauce-gal,Season's Hot Sauce (gallon),113,gallon,,,FALSE,,
molo-yellow,Q Molo Wrapper (yellow),18,pack,,,FALSE,,
molo-white,Q Molo Wrapper (white),18,pack,,,FALSE,,
misua-45,Q Misua 45g,51,45g x 10's,,,FALSE,,
misua-100,Q Misua 100g,59,100g,,,FALSE,,
taochiam-45,Q TaoChiam 45g,51,45g,,,FALSE,,
taochiam-100,Q TaoChiam 100g,59,100g,,,FALSE,,
yema-original,Yema Original (30s),29,pack of 30,,,FALSE,,
yema-mango,Yema Mango (30s),29,pack of 30,,,FALSE,,
yema-ube,Yema Ube (30s),29,pack of 30,,,FALSE,,
taochiam-eggyellow,Q TaoChiam Egg Yellow 100g,0,100g,,,FALSE,,
siomai-yellow,Q Siomai Wrapper (yellow),0,pack,,,FALSE,,
siomai-white,Q Siomai Wrapper (white),0,pack,,,FALSE,,
miki,Q Miki Special Noodles,0,pack,,,FALSE,,
sardines-tomato,Grand Kim Sardines in Tomato Sauce,0,155g can,,,FALSE,,
sardines-chili,Kim Sardines in Tomato Sauce with Chili,0,155g can,,,FALSE,,
